wkt_geom	Entity	Layer	Color	Linetype	Elevation	ORIG_FID	x	y
PointZ (392478.6882999999797903 283060.018999999971129 1.83802282162154595)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392478.6883	283060.019
PointZ (392495.69400000001769513 283050.09360000002197921 1.82467451955672666)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392495.694	283050.0936
PointZ (392451.27130000002216548 283075.95230000000447035 1.95815754020491961)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392451.2713	283075.9523
PointZ (392463.52350000001024455 283068.87790000002132729 1.87806772781600384)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392463.5235	283068.8779
PointZ (392260.20500000001629815 283208.981000000028871 2.26516848769576784)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392260.205	283208.981
PointZ (392263.77895209903363138 283211.70927659305743873 2.28314640154245607)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392263.778952	283211.709277
PointZ (392256.56199999997625127 283206.83830000000307336 2.33190999801986543)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392256.562	283206.8383
PointZ (392258.42239999998128042 283207.8045999999740161 2.27851678976058736)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392258.4224	283207.8046
PointZ (392252.69170000002486631 283205.76480000000447035 2.33190999801986543)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392252.6917	283205.7648
PointZ (392254.30709999997634441 283206.06020000000717118 2.37195490421432398)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392254.3071	283206.0602
PointZ (392246.35139999998500571 283205.72590000001946464 2.37195490421432398)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392246.3514	283205.7259
PointZ (392249.89459999999962747 283205.61070000001927838 2.35860660214950446)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392249.8946	283205.6107
PointZ (392240.01630000001750886 283206.5886000000173226 2.51878622692733689)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392240.0163	283206.5886
PointZ (392242.25250000000232831 283206.1606000000028871 2.49208962279769786)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392242.2525	283206.1606
PointZ (392236.01709999999729916 283207.86920000001555309 2.59887603931625399)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392236.0171	283207.8692
PointZ (392237.76970000000437722 283207.25799999997252598 2.57217943518661496)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392237.7697	283207.258
PointZ (392231.90250000002561137 283192.39059999998426065 2.43202226350601824)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392231.9025	283192.3906
PointZ (392233.97481703496305272 283208.8010541963740252 2.59887603931625399)	3DPolyline	차선_점선	2	Continuous	2.28314640154	504	392233.974817	283208.801054
PointZ (392233.70449999999254942 283199.05849999998463318 2.55883113312179367)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392233.7045	283199.0585
PointZ (392232.83299999998416752 283195.35749999998370185 2.51878622692733511)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392232.833	283195.3575
PointZ (392234.231000000028871 283201.92300000000977889 2.55883113312179367)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.231	283201.923
PointZ (392234.09590000001480803 283201.12079999997513369 2.53213452899215463)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.0959	283201.1208
PointZ (392234.37729999999282882 283203.99060000001918525 2.59887603931625222)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.3773	283203.9906
PointZ (392234.33199999999487773 283202.98629999998956919 2.5855277372514327)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.332	283202.9863
PointZ (392234.18540000001667067 283206.40439999999944121 2.54548283105697415)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.1854	283206.4044
PointZ (392234.31750000000465661 283205.30009999999310821 2.53213452899215463)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392234.3175	283205.3001
PointZ (392233.03370000002905726 283211.12540000001899898 2.54548283105697415)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392233.0337	283211.1254
PointZ (392233.84330000000772998 283208.14659999997820705 2.53213452899215463)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392233.8433	283208.1466
PointZ (392230.35140542557928711 283216.64996342576341704 2.51617251703576139)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392230.351405	283216.649963
PointZ (392231.89439999999012798 283213.84909999999217689 2.54548283105697415)	3DPolyline	차선_점선	2	Continuous	2.43202226351	505	392231.8944	283213.8491
PointZ (392264.44059999997261912 283224.18009999999776483 2.30521339389022506)	3DPolyline	가상선	6	ACAD_ISO10W100	2.2251235815	506	392264.4406	283224.1801
PointZ (392275.02990000002318993 283216.80270000000018626 2.22512358150130796)	3DPolyline	가상선	6	ACAD_ISO10W100	2.2251235815	506	392275.0299	283216.8027
PointZ (392261.29800000000977889 283184.25919999997131526 2.33190999801986409)	3DPolyline	차선_점선	2	Continuous	2.35860660215	507	392261.298	283184.2592
PointZ (392269.99819999997271225 283178.5261000000173226 2.35860660214951112)	3DPolyline	차선_점선	2	Continuous	2.35860660215	507	392269.9982	283178.5261
PointZ (392260.59580000001005828 283181.10710000002291054 2.34525830008468361)	3DPolyline	차선_점선	2	Continuous	2.2651684877	508	392260.5958	283181.1071
PointZ (392265.38689999998314306 283177.90379999997094274 2.2651684876957745)	3DPolyline	차선_점선	2	Continuous	2.2651684877	508	392265.3869	283177.9038
PointZ (392257.52559999999357387 283179.54649999999674037 2.29186509182540554)	3DPolyline	차선_점선	2	Continuous	2.25182018563	509	392257.5256	283179.5465
PointZ (392266.20939999999245629 283173.71059999999124557 2.25182018563095498)	3DPolyline	차선_점선	2	Continuous	2.25182018563	509	392266.2094	283173.7106
PointZ (392276.85210000001825392 283192.33779999997932464 2.06494395672347419)	3DPolyline	차선_점선	2	Continuous	2.06494395672	510	392276.8521	283192.3378
PointZ (392284.73349999997299165 283187.28970000002300367 2.06494395672347419)	3DPolyline	차선_점선	2	Continuous	2.06494395672	510	392284.7335	283187.2897
PointZ (392276.06819999997969717 283189.43530000001192093 2.17173037324203566)	3DPolyline	차선_점선	2	Continuous	2.17173037324	511	392276.0682	283189.4353
PointZ (392269.86158955050632358 283196.91973253496689722 2.04984135171145088)	3DPolyline	차선_점선	2	Continuous	2.06494395672	510	392269.86159	283196.919733
PointZ (392285.29810000001452863 283183.65559999999823049 2.13168546704757178)	3DPolyline	차선_점선	2	Continuous	2.17173037324	511	392285.2981	283183.6556
PointZ (392280.50170000002253801 283186.62959999998565763 2.1450337691123913)	3DPolyline	차선_점선	2	Continuous	2.17173037324	511	392280.5017	283186.6296
PointZ (392276.27179999998770654 283185.59769999998388812 2.18507867530685518)	3DPolyline	차선_점선	2	Continuous	2.18507867531	512	392276.2718	283185.5977
PointZ (392290.03279516054317355 283180.83630827179877087 2.07256466144616303)	3DPolyline	차선_점선	2	Continuous	2.17173037324	511	392290.032795	283180.836308
PointZ (392288.33330336021026596 283178.08720062143402174 2.16072544080294682)	3DPolyline	차선_점선	2	Continuous	2.18507867531	512	392288.333303	283178.087201
PointZ (392278.75459999998565763 283184.04100000002654269 2.21177527943648844)	3DPolyline	차선_점선	2	Continuous	2.18507867531	512	392278.7546	283184.041
PointZ (392277.30780000000959262 283181.40720000001601875 2.30521339389022506)	3DPolyline	차선_점선	2	Continuous	2.29186509183	513	392277.3078	283181.4072
PointZ (392272.78350000001955777 283184.24119999998947605 2.29186509182541132)	3DPolyline	차선_점선	2	Continuous	2.29186509183	513	392272.7835	283184.2412
PointZ (392286.78172646224265918 283175.57736096257576719 2.19452717011924303)	3DPolyline	차선_점선	2	Continuous	2.29186509183	513	392286.781726	283175.577361
PointZ (392282.25380000000586733 283178.29800000000977889 2.27851678976058603)	3DPolyline	차선_점선	2	Continuous	2.29186509183	513	392282.2538	283178.298
PointZ (392209.57000000000698492 283228.10810000001220033 2.47874132073287656)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392209.57	283228.1081
PointZ (392214.06040000001667067 283223.50050000002374873 2.51211207589493624)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392214.0604	283223.5005
PointZ (392200.49410000001080334 283237.31589999998686835 2.49208962279769608)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392200.4941	283237.3159
PointZ (392205.03200000000651926 283232.70610000001033768 2.5054379248625156)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392205.032	283232.7061
PointZ (392182.68511414481326938 283255.471184856898617 2.59966076804187951)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392182.685114	283255.471185
PointZ (392190.25809999997727573 283247.68930000002728775 2.5855277372514327)	3DPolyline	차선_점선	2	Continuous	2.51211207589	514	392190.2581	283247.6893
PointZ (392188.32650000002468005 283245.35100000002421439 2.5855277372514327)	3DPolyline	차선_점선	2	Continuous	2.57094298771	515	392188.3265	283245.351
PointZ (392180.51102994976099581 283253.29092055821092799 2.5709429877080856)	3DPolyline	차선_점선	2	Continuous	2.57094298771	515	392180.51103	283253.290921
PointZ (392202.97049999999580905 283230.46740000002318993 2.45204471660323753)	3DPolyline	차선_점선	2	Continuous	2.57094298771	515	392202.9705	283230.4674
PointZ (392195.83329999999841675 283237.72220000001834705 2.46539301866805705)	3DPolyline	차선_점선	2	Continuous	2.57094298771	515	392195.8333	283237.7222
PointZ (392209.6033000000170432 283219.39079999999376014 2.43869641453842334)	3DPolyline	차선_점선	2	Continuous	2.43869641454	516	392209.6033	283219.3908
PointZ (392209.60420000000158325 283223.71179999999003485 2.43202226350602135)	3DPolyline	차선_점선	2	Continuous	2.57094298771	515	392209.6042	283223.7118
PointZ (392196.61920000001555309 283232.65909999998984858 2.46539301866805705)	3DPolyline	차선_점선	2	Continuous	2.43869641454	516	392196.6192	283232.6591
PointZ (392205.1404999999795109 283223.99629999999888241 2.45204471660323753)	3DPolyline	차선_점선	2	Continuous	2.43869641454	516	392205.1405	283223.9963
PointZ (392186.65439999999944121 283242.74219999997876585 2.54548283105697415)	3DPolyline	차선_점선	2	Continuous	2.43869641454	516	392186.6544	283242.7422
PointZ (392191.6640999999945052 283237.63530000002356246 2.47874132073287656)	3DPolyline	차선_점선	2	Continuous	2.43869641454	516	392191.6641	283237.6353
PointZ (392217.95010000001639128 283228.6613999999826774 2.45204471660324463)	3DPolyline	차선_점선	2	Continuous	2.27618756457	498	392217.9501	283228.6614
PointZ (392223.27409999998053536 283223.20069999998668209 2.49208962279770319)	3DPolyline	차선_점선	2	Continuous	2.27618756457	498	392223.2741	283223.2007
PointZ (392204.81229999999050051 283242.02759999997215346 2.48541547176529454)	3DPolyline	차선_점선	2	Continuous	2.27618756457	498	392204.8123	283242.0276
PointZ (392213.06990000000223517 283233.59759999997913837 2.45204471660324463)	3DPolyline	차선_점선	2	Continuous	2.27618756457	498	392213.0699	283233.5976
PointZ (392209.94069999997736886 283241.10249999997904524 2.34525830008468716)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392209.9407	283241.1025
PointZ (392204.0617000000202097 283247.03509999997913837 2.43202226350601558)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392204.0617	283247.0351
PointZ (392220.41999999998370185 283230.39549999998416752 2.35860660214950668)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392220.42	283230.3955
PointZ (392215.51650000002700835 283235.39110000000800937 2.33190999801986765)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392215.5165	283235.3911
PointZ (392232.05099999997764826 283219.11639999999897555 2.33190999801986765)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392232.051	283219.1164
PointZ (392228.37099999998463318 283222.27779999998165295 2.34525830008468716)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392228.371	283222.2778
PointZ (392245.33639999997103587 283208.0572999999858439 2.39865150834396523)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392245.3364	283208.0573
PointZ (392238.37630000000353903 283213.76860000001033768 2.3719549042143262)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392238.3763	283213.7686
PointZ (392259.5398999999742955 283197.07589999999618158 2.30521339389022861)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392259.5399	283197.0759
PointZ (392252.25069999997504056 283202.64679999998770654 2.34525830008468716)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392252.2507	283202.6468
PointZ (392267.91056632914114743 283194.79888798960018903 2.18368718646205595)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392267.910566	283194.798888
PointZ (392266.27048416435718536 283192.23429633391788229 2.30521339389022861)	3DPolyline	차선_점선	2	Continuous	2.43202226351	499	392266.270484	283192.234296
PointZ (392256.72269999998388812 283203.11959999997634441 2.26516848769577006)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392256.7227	283203.1196
PointZ (392261.22789999999804422 283199.70439999998779967 2.25182018563095054)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392261.2279	283199.7044
PointZ (392247.87910000002011657 283210.06380000000353903 2.27851678976058958)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392247.8791	283210.0638
PointZ (392252.50939999998081475 283206.38679999997839332 2.26516848769577006)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392252.5094	283206.3868
PointZ (392237.15159999998286366 283218.85399999999208376 2.31856169595504813)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392237.1516	283218.854
PointZ (392243.1745000000228174 283213.87569999997504056 2.31856169595504813)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392243.1745	283213.8757
PointZ (392227.82569999998668209 283227.22480000002542511 2.33190999801986765)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392227.8257	283227.2248
PointZ (392230.62140000000363216 283224.3610999999800697 2.35860660214950668)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392230.6214	283224.3611
PointZ (392217.37739999999757856 283237.82870000001275912 2.31856169595504813)	3DPolyline	차선_점선	2	Continuous	2.18368718646	500	392217.3774	283237.8287
